city,lat,long,max_temp,humidity,cloudiness,wind_spd,country,date
Manokwari,-0.87,134.08,302.44,72,100,3.56,ID,1604033975
Kapuskasing,49.42,-82.43,262.58,92,0,0.46,CA,1604034104
Isla Mujeres,21.23,-86.73,300.15,88,40,1.5,MX,1604034104
Angoche,-16.23,39.91,300.42,70,0,3.49,MZ,1604034104
Ilulissat,69.22,-51.1,264.15,72,90,2.6,GL,1604034105
Pundaguitan,6.37,126.17,302.0,72,63,2.71,PH,1604034105
Narsaq,60.92,-46.05,272.15,86,64,1.5,GL,1604034105
Malabo,3.75,8.78,296.15,100,20,0.82,GQ,1604034106
Fairbanks,64.84,-147.72,264.15,78,90,2.6,US,1604033880
Avarua,-21.21,-159.78,296.15,78,100,2.6,CK,1604034028
Te Anau,-45.42,167.72,287.41,89,100,2.38,NZ,1604034106
Enumclaw,47.2,-121.99,282.04,88,8,0.89,US,1604034106
Henties Bay,-22.12,14.28,285.37,92,18,0.89,NA,1604034107
Waddān,29.16,16.14,286.07,84,27,1.86,LY,1604034107
Salalah,17.02,54.09,299.15,65,0,0.5,OM,1604034107
Nārnaund,29.22,76.15,300.96,15,0,2.51,IN,1604034108
Miranda do Corvo,40.09,-8.33,286.48,93,0,1.5,PT,1604034100
Marawi,8.0,124.29,299.82,89,90,1.34,PH,1604034108
Nouadhibou,20.93,-17.03,292.15,82,0,8.2,MR,1604034108
Airai,-8.93,125.41,298.62,55,8,1.82,TL,1604034108
Port Elizabeth,-33.92,25.57,287.15,76,0,4.6,ZA,1604034109
Saint Paul Harbor,57.79,-152.41,271.15,79,1,2.6,US,1604034509
Arraial do Cabo,-22.97,-42.03,297.01,93,98,2.17,BR,1604034006
Sibolga,1.74,98.78,303.84,56,15,2.36,ID,1604033875
Pontes e Lacerda,-15.23,-59.34,294.64,93,100,1.75,BR,1604033907
Tuktoyaktuk,69.45,-133.04,258.33,95,47,2.81,CA,1604034110
Diffa,13.32,12.61,298.43,25,0,4.15,NE,1604034110
Mahébourg,-20.41,57.7,297.04,52,8,4.92,MU,1604034110
Makakilo City,21.35,-158.09,300.93,57,90,4.6,US,1604034110
Santa Rosa,14.31,121.11,306.48,74,75,2.6,PH,1604034111
Kenai,60.55,-151.26,269.26,79,90,2.1,US,1604034111
Port Hardy,50.7,-127.42,283.89,90,100,10.65,CA,1604034002
Portland,45.52,-122.68,283.71,87,20,0.33,US,1604034001
Kimberley,-28.73,24.76,288.15,93,0,1.5,ZA,1604034112
Salinópolis,-0.61,-47.36,299.71,84,29,5.23,BR,1604034112
Abhar,36.15,49.22,289.16,30,2,1.26,IR,1604034112
Beringovskiy,63.05,179.32,269.3,81,0,0.88,RU,1604034112
Bredasdorp,-34.53,20.04,282.15,70,12,3.1,ZA,1604034113
Buraidah,26.33,43.98,286.15,43,0,3.24,SA,1604034011
Breytovo,58.3,37.86,276.89,88,53,4.06,RU,1604034113
Marzuq,14.4,46.47,294.76,23,0,1.16,YE,1604034113
Aksarka,66.56,67.8,274.66,98,100,5.8,RU,1604034113
Rochegda,62.8,43.25,280.35,93,100,4.06,RU,1604034114
Tezu,27.92,96.17,303.47,28,38,1.21,IN,1604034114
Margate,51.38,1.39,288.15,80,97,3.13,GB,1604034114
Fort Nelson,58.81,-122.7,269.32,98,94,0.92,CA,1604034004
El Salvador,13.83,-88.92,298.15,94,40,2.1,SV,1604033912
Irauçuba,-3.75,-39.78,296.31,83,100,3.42,BR,1604034115
Severo-Kuril'sk,50.68,156.12,279.62,82,54,6.47,RU,1604034115
New Richmond,45.12,-92.54,268.15,85,1,1.04,US,1604034115
Takoradze,4.88,-1.76,298.57,87,10,3.18,GH,1604034115
Lorengau,-2.02,147.27,303.49,62,76,2.86,PG,1604034067
Al Bardīyah,31.76,25.09,292.99,79,10,5.65,LY,1604034116
Clyde River,70.47,-68.59,266.77,95,100,2.85,CA,1604034116
Safi,32.3,-9.24,294.6,49,70,2.15,MA,1604034116
Port Augusta,-32.5,137.77,291.15,59,65,12.3,AU,1604034117
Lata,40.16,-8.33,286.48,93,0,1.5,PT,1604034117
Aksu,41.12,80.26,285.71,36,98,2.49,CN,1604034117
Nanortalik,60.14,-45.24,272.18,93,100,4.75,GL,1604034117
Moengo,5.62,-54.4,298.85,87,100,1.79,SR,1604034117
Watsa,3.04,29.54,291.09,100,100,1.03,CD,1604034118
Tocopilla,-22.09,-70.2,288.56,56,0,1.83,CL,1604034113
Provincie Utrecht,52.0,5.25,286.48,95,100,2.68,NL,1604033881
Bambous Virieux,-20.34,57.76,297.04,52,13,4.92,MU,1604034118
Beroroha,-21.67,45.17,301.61,41,0,5.99,MG,1604034118
Harper,4.38,-7.72,298.31,87,100,2.46,LR,1604034119
Liwale,-9.77,37.93,297.32,70,82,2.34,TZ,1604034119
Pisco,-13.7,-76.22,290.15,82,90,6.2,PE,1604034119
Djibo,14.1,-1.63,298.63,19,0,2.49,BF,1604034120
Haines Junction,60.75,-137.51,268.14,94,100,0.43,CA,1604034120
Le Port,-20.94,55.29,296.15,53,20,14.9,RE,1604034120
Inhambane,-23.86,35.38,297.15,83,40,3.1,MZ,1604034120
Loa Janan,-0.58,117.09,307.24,47,46,2.41,ID,1604034121
Trat,12.5,102.5,299.49,88,85,0.71,TH,1604034121
Trairi,-3.28,-39.27,298.59,81,56,4.94,BR,1604034121
La Malbaie,47.66,-70.16,269.82,69,40,3.13,CA,1604034122
Birao,10.28,22.79,296.11,50,29,1.12,CF,1604034122
Syamzha,60.02,41.06,276.56,93,97,3.61,RU,1604034122
Ürümqi,43.8,87.6,279.15,60,0,2.0,CN,1604034006
Aktau,43.65,51.2,280.15,48,0,8.0,KZ,1604034123
Kirakira,-10.45,161.92,299.49,83,100,2.89,SB,1604034123
Mount Gambier,-37.83,140.77,290.15,77,75,6.7,AU,1604034123
Sturgeon Falls,46.36,-79.93,269.26,69,0,3.13,CA,1604034123
Maniitsoq,65.42,-52.9,269.42,89,81,4.57,GL,1604034124
Kiryat Gat,31.61,34.76,295.37,100,99,1.03,IL,1604033941
Dwārka,22.24,68.97,302.63,42,0,5.23,IN,1604034124
Tromsø,69.65,18.96,273.15,94,75,8.7,NO,1604034124
Klaksvík,62.23,-6.59,282.15,100,100,13.9,FO,1604034125
Biak,-0.91,122.88,302.65,69,60,2.56,ID,1604034125
Rovaniemi,66.5,25.72,271.15,86,0,4.1,FI,1604034125
Constitución,-35.33,-72.42,286.51,71,0,1.28,CL,1604034125
St. George's,12.06,-61.75,300.15,83,75,4.6,GD,1604034126
Elko,41.0,-115.5,277.59,43,1,0.44,US,1604034126
Tanete,-3.94,119.78,306.8,44,62,1.59,ID,1604034126
Podolínec,49.26,20.54,278.71,84,0,0.98,SK,1604034127
Sawtell,-30.38,153.1,297.04,73,0,9.8,AU,1604034127
Alta Floresta,-9.88,-56.09,295.27,97,100,1.27,BR,1604033994
Dikson,73.51,80.55,260.76,93,100,11.58,RU,1604034127
Luganville,-15.53,167.17,299.15,83,75,4.1,VU,1604034128
Comodoro Rivadavia,-45.87,-67.5,287.15,35,0,6.2,AR,1604033891
Nizhniy Odes,63.64,54.86,276.52,97,100,3.81,RU,1604034128
Rauma,61.13,21.51,276.15,100,90,1.0,FI,1604034128
Payson,40.04,-111.73,278.15,69,1,1.43,US,1604034128
Khokhryaki,56.92,53.32,272.59,91,54,2.79,RU,1604034129
Udachny,66.42,112.4,253.42,90,71,0.66,RU,1604034129
